raw_row_number,date,time,location,lat,lng,beat,subject_age,subject_race,subject_sex,officer_assignment,type,arrest_made,citation_issued,warning_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,search_conducted,search_basis,reason_for_stop,use_of_force_description,raw_subject_sdrace,raw_subject_resultofencounter,raw_subject_searchconducted,raw_subject_typeofsearch,raw_subject_resultofsearch
82,2013-04-02,19:34:00,50th Av & International Bl,37.7695326,-122.2087481,NA,NA,black,female,NA,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,NA,Traffic Violation,NA,B,"Citation,",No,NA,NA
83,2013-04-02,19:46:00,281 SANTA CLARA AVE,37.8163248,-122.2500123,NA,NA,black,male,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA,Reasonable Suspicion,NA,B,"FI Report,",No,NA,NA
84,2013-04-02,20:00:00,502 LEWIS ST,37.8050477,-122.2982591,NA,NA,black,male,NA,NA,TRUE,FALSE,FALSE,arrest,FALSE,FALSE,FALSE,TRUE,other,Reasonable Suspicion,NA,B,"Felony Arrest,",Yes,"Incident to Arrest,",NA
85,2013-04-02,20:31:00,5040 International Blvd,37.769497200000004,-122.2079685,NA,NA,black,male,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,other,Probable Cause,NA,B,"FI Report,",Yes,"Prob./Parole,",NA
86,2013-04-02,20:32:00,7520 Ney Ave,37.76907449999999,-122.16917240000002,NA,NA,black,male,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,probable cause,Probable Cause,NA,B,"FI Report,",Yes,"Weapons,",NA
87,2013-04-02,20:38:00,6638 Macarthur Blvd,37.7724535,-122.1769332,NA,NA,hispanic,male,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA,Reasonable Suspicion,NA,H,"FI Report,",No,NA,NA
88,2013-04-02,20:42:00,IFO 690 30TH ST,37.8199347,-122.2720093,NA,NA,black,male,NA,NA,TRUE,FALSE,FALSE,arrest,FALSE,FALSE,FALSE,TRUE,other,Probable Cause,NA,B,"Felony Arrest,",Yes,"Incident to Arrest,",NA
89,2013-04-02,20:50:00,2000 SAN PABLO AV,37.810526200000005,-122.2728767,NA,NA,black,male,NA,vehicular,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA,Traffic Violation,NA,B,"FI Report,",No,NA,NA
90,2013-04-02,21:00:00,ISABELLA & ST ST,37.81467670000001,-122.2760779,NA,NA,black,male,NA,vehicular,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,other,Traffic Violation,NA,B,"FI Report,",Yes,"Prob./Parole,",NA
91,2013-04-02,21:23:00,600 Blk 40th St.,37.82974859999999,-122.26790449999999,NA,NA,black,male,NA,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,NA,Traffic Violation,NA,B,"Warning,",No,NA,NA
92,2013-04-02,21:41:00,2100 SAN PABLO AV,37.8115377,-122.2735165,NA,NA,black,male,NA,vehicular,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA,Traffic Violation,NA,B,"FI Report,",No,NA,NA
93,2013-04-02,21:53:00,34T H ST&TELEGRAPH AV,37.822487200000005,-122.2662485,NA,NA,black,male,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA,Reasonable Suspicion,NA,B,"FI Report,",No,NA,NA
38,2013-04-02,00:22:00,46T H AV&INTERNATIONAL BLVD,37.7708236,-122.2117557,NA,NA,black,male,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA,Probable Cause,NA,B,"FI Report,",No,NA,NA
94,2013-04-02,22:29:00,DERBY AV&INTERNATIONAL BLVD,37.7782831,-122.22723490000001,NA,NA,hispanic,male,NA,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,NA,Traffic Violation,NA,H,"Citation,",No,NA,NA
95,2013-04-02,23:14:00,7th St And Mandela Pkwy,37.80499229999999,-122.2936344,NA,NA,black,male,NA,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,NA,Traffic Violation,NA,B,"Warning,",No,NA,NA
